Record_ID,Record_Type,Timestamp_Start,Latitude,Longitude,Severity,Resolution_Status,Resolution_Time_Minutes,Alert_Type,Incident_Type,Distance_km,Incident_Description,Traffic_Incident_Nearby,Node_ID/DevEUI,Feeder_ID,Network_Operator,Time_Zone,,,,,,,,
UTIL-1001,Utility Alert,10/20/2025 21:07,39.2904,-76.6122,Critical,Open,0,Power Loss,,,Grid Fault at Substation,FALSE,80646ffdd6e49d88,58.01.09,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1002,Utility Alert,10/21/2025 1:14,39.295,-76.68,High,Resolved,12,Sudden Tilt,,,Mast vibration detected and corrected,FALSE,3c8a1f7629002a8d,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1001,Traffic Incident,10/21/2025 2:05,39.2908,-76.6127,High,In Progress,0,,Accident,0.4,Multi-vehicle accident (major blockage),TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,
UTIL-1003,Utility Alert,10/21/2025 1:15,39.28,-76.545,High,Resolved,8,Sudden Tilt,,,Tilt sensor tripped (false positive),FALSE,ec64c96976a0aa60,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1004,Utility Alert,10/21/2025 1:28,39.27,-76.65,Medium,Resolved,25,Sudden Tilt,,,Device reset due to sudden surge,FALSE,3c8a1f762e24282e,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1002,Traffic Incident,10/21/2025 8:35,39.3195,-76.621,Critical,Open,0,,Road Work,1.1,Emergency utility repair in westbound lane,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,
UTIL-1005,Utility Alert,10/21/2025 1:47,39.2904,-76.6122,High,Resolved,10,Sudden Tilt,,,Device communications restored,FALSE,09415001B,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1006,Utility Alert,10/21/2025 1:50,39.295,-76.68,Medium,Resolved,22,Sudden Tilt,,,Telemetry connection re-established,FALSE,09744076A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1007,Utility Alert,10/21/2025 1:52,39.32,-76.62,High,Resolved,15,Sudden Tilt,,,High voltage transient detected,FALSE,12856009A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1003,Traffic Incident,10/21/2025 17:45,39.272,-76.653,Medium,Resolved,55,Congestion,3.2,Volume related slowdown on I-95 South,FALSE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1008,Utility Alert,10/20/2025 21:07,39.295,-76.68,Critical,Open,0,Power Loss,,,Power loss affecting traffic light cluster,FALSE,48e7293158d87c24,58.01.09,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1009,Utility Alert,10/21/2025 1:53,39.28,-76.545,High,Resolved,34,Sudden Tilt,,,Device stabilization complete,FALSE,08715070A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1010,Utility Alert,10/21/2025 2:08,39.2904,-76.6122,Medium,Resolved,19,Sudden Tilt,,,Minor pole movement detected,FALSE,09724044A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1004,Traffic Incident,10/21/2025 9:15,39.2899,-76.6095,Medium,Resolved,95,Disabled Vehicle,0.3,Flat tire on major downtown artery,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1011,Utility Alert,10/21/2025 1:34,39.32,-76.62,High,Resolved,59,Sudden Tilt,,,Sensor reports excessive wind load,FALSE,08734036A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1012,Utility Alert,10/21/2025 1:50,39.27,-76.65,High,Resolved,14,Sudden Tilt,,,Device performance stable,FALSE,08725050A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
TRFC-1005,Traffic Incident,10/21/2025 11:15,39.2901,-76.6135,Low,Resolved,15,Congestion,0.1,Heavy morning commuter volume,TRUE,,,Maryland DOT (MDOT),America/New York,,,,,,,,,
UTIL-1013,Utility Alert,10/21/2025 1:54,39.295,-76.68,High,Resolved,22,Sudden Tilt,,,Device stability confirmed,FALSE,09744058D,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1014,Utility Alert,10/21/2025 2:02,39.28,-76.545,High,Resolved,16,Sudden Tilt,,,Sensor status OK,FALSE,10731196A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
UTIL-1015,Utility Alert,10/21/2025 1:52,39.27,-76.65,Medium,Resolved,8,Sudden Tilt,,,Minor fluctuation detected,FALSE,09705096A,58.02.30,Baltimore Gas and Electric (BGE),America/New York,,,,,,,,
