Active WO,Alert Date/Time,Alert Type,Alert Value,Brightness,Burn Hours,DevEUI,Feeder,Feeder ID,Fixture Current,Fixture off Cycles,Fixture On Cycles,Fixture Type,Fixture Wattage,Firmware Version,HDOP,Hardware Version,Last Update,Latitude,Light Status,Longitude,Manufacturer,Network Type,Node Name,Node Status,Pole Current,RSSI,Solar,Subpanel Name,Subpanel Time Zone,Substation,Substation ID,Tag Name,Threshold Value
,10/20/2025 09:07PM,Power Loss,0.4,-,2004 hrs,80646ffdd6e49d88,,,-,38,174,,-,58.01.09,0.6,C3,29-11-2024 12:33,36.037628,POWER LOSS,-86.647488,,LTE-M,12853031D,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,0 hrs,d48afcb6c1f43c33,,,-,0,0,,-,58.01.08,9,C3,22-01-2025 17:17,0,OFF,0,,LTE-M,d48afcb6c1f43c33,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Power Loss,5.6,-,3705 hrs,08b61f7fc9a02847,,,-,78,320,,-,58.01.09,0.6,C3,7/2/2025 8:36,36.038908,POWER LOSS,-86.64956,,LTE-M,12852019D,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"24 and William Turner Pkwy,2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,0 hrs,e86beaf9784c66b1,,,-,0,0,,-,58.01.08,9,C3,7/2/2025 17:24,0,OFF,0,,LTE-M,e86beaf9784c66b1,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Power Loss,4.1,-,3438 hrs,d48afcaeec102c4c,,,-,345,493,,-,58.01.08,0.6,C3,5/3/2025 2:06,36.08192,POWER LOSS,-86.76276,,LTE-M,11633082C,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,1 hrs,8813bf2b53106260,,,-,0,0,,-,58.02.30,0.5,C5,13-03-2025 14:36,0,OFF,0,,LTE,8813bf2b53106260,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Power Loss,0.9,-,4231 hrs,48e7293158d87c24,,,-,68,367,,-,58.01.09,0.6,C3,20-03-2025 02:10,36.03664,POWER LOSS,-86.648648,,LTE-M,12852022C,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"24 and William Turner Pkwy,2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Sudden Tilt,53.9,-,260 hrs,ec64c96acc4cb06f,,,-,26,27,,-,58.02.30,0.5,C5,21-07-2025 09:31,36.098692,POWER LOSS,-86.659632,,LTE,11801084A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,45
,10/20/2025 09:07PM,Power Loss,0.1,-,655 hrs,ec64c96994445b7c,,,-,64,64,,-,58.02.30,0.5,C5,28-08-2025 12:08,36.110408,POWER LOSS,-86.696416,,LTE,10744002A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,Power Loss
,10/20/2025 09:07PM,Power Loss,3.4,-,474 hrs,3c8a1f745d5452a3,,,-,44,44,,-,58.02.30,0.5,C5,4/9/2025 12:51,36.13578,POWER LOSS,-86.630016,,LTE,09854030A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,Power Loss
