Active WO,Alert Date/Time,Alert Type,Alert Value,Brightness,Burn Hours,DevEUI,Feeder,Feeder ID,Fixture Current,Fixture off Cycles,Fixture On Cycles,Fixture Type,Fixture Wattage,Firmware Version,HDOP,Hardware Version,Last Update,Latitude,Light Status,Longitude,Manufacturer,Network Type,Node Name,Node Status,Pole Current,RSSI,Solar,Subpanel Name,Subpanel Time Zone,Substation,Substation ID,Tag Name,Threshold Value
,10/20/2025 09:07PM,Power Loss,0.4,-,2004 hrs,80646ffdd6e49d88,,,-,38,174,,-,58.01.09,0.6,C3,29-11-2024 12:33,39.2904,POWER LOSS,-76.6122,,LTE-M,12853031D,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,0 hrs,d48afcb6c1f43c33,,,-,0,0,,-,58.01.08,9,C3,22-01-2025 17:17,39.295,OFF,-76.68,,LTE-M,d48afcb6c1f43c33,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Power Loss,5.6,-,3705 hrs,08b61f7fc9a02847,,,-,78,320,,-,58.01.09,0.6,C3,7/2/2025 8:36,39.32,POWER LOSS,-76.62,,LTE-M,12852019D,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"24 and William Turner Pkwy,2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,0 hrs,e86beaf9784c66b1,,,-,0,0,,-,58.01.08,9,C3,7/2/2025 17:24,39.28,OFF,-76.545,,LTE-M,e86beaf9784c66b1,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Power Loss,4.1,-,3438 hrs,d48afcaeec102c4c,,,-,345,493,,-,58.01.08,0.6,C3,5/3/2025 2:06,39.27,POWER LOSS,-76.65,,LTE-M,11633082C,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,1 hrs,8813bf2b53106260,,,-,0,0,,-,58.02.30,0.5,C5,13-03-2025 14:36,39.2904,OFF,-76.6122,,LTE,8813bf2b53106260,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Power Loss,0.9,-,4231 hrs,48e7293158d87c24,,,-,68,367,,-,58.01.09,0.6,C3,20-03-2025 02:10,39.295,POWER LOSS,-76.68,,LTE-M,12852022C,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"24 and William Turner Pkwy,2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Sudden Tilt,53.9,-,260 hrs,ec64c96acc4cb06f,,,-,26,27,,-,58.02.30,0.5,C5,21-07-2025 09:31,39.32,POWER LOSS,-76.62,,LTE,11801084A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,45
,10/20/2025 09:07PM,Power Loss,0.1,-,655 hrs,ec64c96994445b7c,,,-,64,64,,-,58.02.30,0.5,C5,28-08-2025 12:08,39.28,POWER LOSS,-76.545,,LTE,10744002A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,Power Loss
,10/20/2025 09:07PM,Power Loss,3.4,-,474 hrs,3c8a1f745d5452a3,,,-,44,44,,-,58.02.30,0.5,C5,4/9/2025 12:51,39.27,POWER LOSS,-76.65,,LTE,09854030A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,Power Loss
,10/20/2025 09:07PM,Power Loss,0.1,-,5718 hrs,b0b21ca3f2405e44,,,-,168,564,,-,58.01.09,0.6,C3,10/9/2025 1:20,39.2904,POWER LOSS,-76.6122,,LTE-M,12852022D,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,"24 and William Turner Pkwy,2024-09-17 Control Station Power Loss,Metro_High_Masts_5",Power Loss
,10/20/2025 09:07PM,Power Loss,0.5,-,19 hrs,ec64c968e13ca679,,,-,1,2,,-,58.02.30,0.5,C5,10/9/2025 8:03,39.295,POWER LOSS,-76.68,,LTE,09524106A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,Power Loss
,10/20/2025 09:07PM,Power Loss,7,-,36 hrs,ec64c9690b5c8c5e,,,-,0,3,,-,58.02.30,0.5,C5,14-09-2025 09:08,39.32,POWER LOSS,-76.62,,LTE,09536167A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,Power Loss
,10/20/2025 09:07PM,Without GPS Location,,-,1 hrs,8813bf2b5f54a959,,,-,0,0,,-,58.02.30,0.5,C5,18-09-2025 14:40,39.28,OFF,-76.545,,LTE,8813bf2b5f54a959,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Without GPS Location,,-,1 hrs,ec64c97165b80f5a,,,-,0,0,,-,58.02.30,0.5,C5,18-09-2025 15:31,39.27,OFF,-76.65,,LTE,07542072B,OFFLINE,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,
,10/20/2025 09:07PM,Sudden Tilt,50,-,255 hrs,3c8a1f73fed03479,,,-,28,28,,-,58.02.30,0.5,C5,18-09-2025 16:18,39.2904,POWER LOSS,-76.6122,,LTE,09544465A,POWER LOSS,-,-,No,Nashville Electric Service (NES),America/Chicago,,,,45
