timestamp_utc,device_id,serial_number,pole_id,street_name,mounted_on_description,model,firmware_version,latitude,longitude,altitude_m,heading_deg,mechanical_tilt_deg,pole_tilt_deg,gps_accuracy_m,gps_fix,mac_address,ip_address,adoption_status,tags,warranty_status,warranty_expires,eol_flag,pedestrian_count,vehicle_count,vehicle_car_count,vehicle_truck_count,bicycle_count,avg_speed_kmph,max_speed_kmph,speed_95th_kmph,near_miss_count,intersection_conflict_count,camera_motion_events,person_detections,vehicle_detections,camera_fps,camera_bitrate_kbps,object_types_detected,energy_power_w,energy_kwh_since_last,voltage_v,current_a,poe_power_w,temperature_c,humidity_pct,pm2_5_ugm3,pm10_ugm3,noise_db,light_level_lux,uptime_seconds,cpu_pct,mem_pct,storage_pct,backhaul_type,backhaul_rssi_dbm,latency_ms,packet_loss_pct,spectral_scan_available,spectral_scan_peak_dbm,syslog_events_last_hour,crash_count_last_30d,firmware_update_available,contact_owner,installation_date,last_maintenance_date,notes
2025-11-01T00:00:00,UBC-00001,UBC00000001,PL-46048,Charles St,Light pole at Charles St near block 778,UbiEdge-Sensor,v1.4.0,39.297612,-76.618691,5.13,56.2,1.0,1.21,1.35,True,02:00:0d:65:d6:70,10.229.142.208,Adopted,"camera-enabled,crosswalk,energy-metered,smartpole",InWarranty,2028-10-08,False,2,1,1,0,0,24.3,34.6,33.4,0,0,0,0,0,10,1098,car,96.1,0.016,121.1,0.79,5,-0.4,59.5,11.75,14.29,48.4,31,472467,12.9,13.3,24.1,4G-LTE,-76.8,22.7,0.31,True,-91.1,6,0,False,University,2021-12-17,2025-06-19,
2025-11-01T00:10:00,UBC-00002,UBC00000002,PL-54118,Gay St,Light pole at Gay St near block 792,UbiHub-200,v1.5.2,39.245256,-76.592193,5.42,195.4,0.18,0.79,0.5,True,02:00:28:96:b9:62,10.35.23.170,Provisioning,"busstop,crosswalk,bikepath,intersection",Extended,2028-01-23,False,2,1,1,0,0,30.5,34.9,34.2,0,0,1,1,0,5,1730,bike,102.4,0.0171,122.5,0.84,0,2.3,53.3,9.51,11.38,52.0,1,28528,2.9,20.6,25.3,4G-LTE,-73.3,31.6,1.11,False,,2,0,False,DOT,2021-07-07,2025-06-19,
2025-11-01T00:20:00,UBC-00003,UBC00000003,PL-57819,Belair Rd,Light pole at Belair Rd near block 217,UbiCam-Edge,v2.2.3,39.296285,-76.588332,7.34,317.0,1.38,-0.28,0.53,True,02:00:a6:1c:75:10,10.161.205.69,Adopted,"schoolzone,intersection,downtown,energy-metered",OutOfWarranty,2027-03-03,False,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,10,1525,"truck,car",113.6,0.0189,122.5,0.93,0,-2.5,53.0,11.57,11.59,48.0,1,88252,5.5,33.4,20.3,Mesh,-46.7,11.3,0.99,True,-85.2,4,2,False,Contractor,2018-06-05,2025-02-26,
2025-11-01T00:30:00,UBC-00004,UBC00000004,PL-28726,Canton Ave,Light pole at Canton Ave near block 611,UbiCam-Edge,v2.2.3,39.286448,-76.541012,7.15,52.2,1.04,0.6,1.54,True,02:00:18:38:4e:51,10.216.32.99,Decommissioned,"camera-enabled,bikepath,downtown,smartpole",Extended,2026-06-13,False,0,1,1,0,0,24.0,30.9,30.7,0,0,0,0,0,15,945,car,122.7,0.0204,118.9,1.03,10,-0.7,47.3,9.14,11.61,53.0,99,778329,3.0,36.1,40.7,Ethernet,-45.6,5.6,0.32,False,,3,2,False,DOT,2018-02-23,2025-09-11,
2025-11-01T00:40:00,UBC-00005,UBC00000005,PL-44973,Gay St,Light pole at Gay St near block 115,UbiEdge-Sensor,v2.1.0,39.309832,-76.610681,7.38,252.1,0.88,0.66,1.08,True,02:00:65:4e:bf:52,10.0.165.126,Adopted,"smartpole,schoolzone",Extended,2027-08-12,False,3,2,2,0,0,30.4,31.5,30.4,0,0,3,2,1,30,1192,"person,truck",144.5,0.0241,129.2,1.12,30,-1.3,41.8,9.54,10.9,52.5,328,1094740,24.4,29.1,7.9,FixedWireless,-48.2,11.7,0.55,True,-86.3,2,1,False,DOT,2023-01-28,2025-01-22,
2025-11-01T00:50:00,UBC-00006,UBC00000006,PL-73699,Russell St,Light pole at Russell St near block 66,UbiCell-XL,v1.4.0,39.302828,-76.601057,5.23,306.4,-0.26,0.04,0.85,True,02:00:9f:cc:bf:e0,10.231.61.64,Decommissioned,smartpole,Extended,2027-01-24,False,2,2,2,0,0,38.1,45.6,41.4,0,0,7,3,4,5,1304,"car,dog,bike",131.8,0.022,116.5,1.13,5,-3.1,68.9,5.95,9.6,51.0,1,27377,11.6,32.3,3.2,Ethernet,-42.2,5.9,5.68,False,,2,0,False,Contractor,2019-03-06,2025-07-19,
2025-11-01T01:00:00,UBC-00007,UBC00000007,PL-92719,Patterson Park Ave,Light pole at Patterson Park Ave near block 442,UbiCell-XL,v1.4.0,39.295729,-76.565119,7.26,156.1,0.46,0.09,1.25,True,02:00:f2:7c:f2:d0,10.97.48.25,Adopted,"intersection,busstop,bikepath,smartpole",InWarranty,2026-09-05,False,0,1,0,1,0,29.8,31.2,30.1,0,0,0,0,0,5,2160,person,128.2,0.0214,125.0,1.03,10,0.0,42.7,2.32,3.27,54.2,74,443370,2.4,25.0,9.5,4G-LTE,-55.2,24.0,0.09,False,,2,1,False,University,2016-02-02,2025-10-12,
2025-11-01T01:10:00,UBC-00008,UBC00000008,PL-22899,St. Paul St,Light pole at St. Paul St near block 870,UbiEdge-Sensor,v2.2.3,39.343973,-76.602911,6.99,210.9,0.84,0.67,0.42,True,02:00:26:e2:32:19,10.7.47.238,Unadopted,"energy-metered,schoolzone,intersection,downtown",OutOfWarranty,2027-05-04,False,1,1,0,1,0,34.0,38.4,38.0,0,0,0,0,0,5,934,"dog,truck",144.9,0.0241,121.1,1.2,25,-0.7,54.5,9.53,18.4,53.3,641,909242,18.1,23.6,16.5,4G-LTE,-58.7,23.0,0.44,False,,1,0,False,University,2020-05-18,2025-07-22,
2025-11-01T01:20:00,UBC-00009,UBC00000009,PL-59672,Guilford Ave,Light pole at Guilford Ave near block 83,UbiCam-Edge,v1.4.0,39.304089,-76.596751,5.81,107.1,0.75,0.84,1.18,True,02:00:1f:a0:1d:19,10.244.80.15,Decommissioned,intersection,OutOfWarranty,2026-04-07,False,1,0,0,0,0,0.0,0.0,0.0,0,0,2,0,2,5,2016,"truck,bike",131.3,0.0219,120.3,1.09,30,1.7,52.4,6.96,8.84,48.9,1,1158157,1.0,20.0,35.6,Mesh,-60.2,18.2,0.16,False,,6,0,True,DOT,2018-03-16,2025-07-11,
2025-11-01T01:30:00,UBC-00010,UBC00000010,PL-42271,W Baltimore St,Light pole at W Baltimore St near block 577,UbiCam-Edge,v1.4.0,39.277535,-76.605163,4.73,346.4,1.87,-0.27,0.91,True,02:00:43:99:ea:a1,10.37.4.118,Provisioning,"intersection,bikepath",InWarranty,2028-02-27,False,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,25,1300,"person,scooter,dog",120.3,0.02,120.3,1.0,15,-0.9,43.0,4.2,9.95,47.1,37,78033,4.4,16.2,17.1,FixedWireless,-55.3,5.6,0.42,False,,0,0,False,Contractor,2020-02-07,2025-06-26,
